策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间,综合分,夏普分,回撤分,信息比率分,年化分,胜率分,盈亏比分,交易次数分,阿尔法分,索提诺分,下单时段分,打分细节
2024_2_origin_py/9.分享几个截止2022年3月仍有效的策略,2023/9/1,2026/2/21,200000,02分21秒,137.81%,43.91%,64.45%,44.61%,0.273,0.991,0.973,0.611,2.644,47.83%,1.262,0.11%,45.03%,0.574,0.509,58,37,0.806,0.41,0.236,"2023/09/27,2024/02/07",44.5,44,30,45,35,88,90,72,50,55,0,夏普:44 回撤:30 信息比率:45 年化:35 胜率:88 盈亏比:90 交易次数:72 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/89基于Gyro.大神的小市值策略的因子匹配研究,2023/9/1,2026/2/21,200000,04分57秒,137.42%,43.81%,91.81%,23.77%,0.347,0.958,1.005,0.639,4.338,42.29%,1.234,0.14%,42.46%,0.767,0.545,23,13,0.96,0.396,0.176,"2024/01/26,2024/02/07",54.2,45,30,45,35,88,100,45,50,55,100,夏普:45 回撤:30 信息比率:45 年化:35 胜率:88 盈亏比:100 交易次数:45 阿尔法:50 索提诺:55 下单时段:100
2024_1_origin_py/18.微盘股研究,2023/9/1,2026/2/21,200000,05分22秒,136.31%,43.52%,90.92%,23.77%,0.35,0.845,1.208,0.675,3.522,37.60%,1.44,0.13%,37.96%,0.931,0.561,1604,773,1.166,0.327,0.176,"2024/01/04,2024/02/07",64.2,53,45,65,35,92,100,100,50,55,100,夏普:53 回撤:45 信息比率:65 年化:35 胜率:92 盈亏比:100 交易次数:100 阿尔法:50 索提诺:55 下单时段:100
2024_2_origin_py/26.近几年一直有效的股票BOLL择时策略,2023/9/1,2026/2/21,200000,01分41秒,134.27%,43.00%,79.03%,30.85%,0.333,0.718,1.588,0.489,1.924,25.44%,2.208,0.11%,22.24%,1.072,0.506,113,118,1.402,0.246,0.161,"2024/11/21,2025/01/23",65.7,68,55,65,35,60,65,92,50,85,100,夏普:68 回撤:55 信息比率:65 年化:35 胜率:60 盈亏比:65 交易次数:92 阿尔法:50 索提诺:85 下单时段:100
2024_2_origin_py/28.【回顾2】小市值成长股策略更新SG-MS-PEG-HL,2023/9/1,2026/2/21,200000,02分12秒,131.41%,42.27%,60.03%,44.61%,0.266,0.911,1.102,0.6,2.355,41.25%,1.304,0.09%,41.05%,0.656,0.556,186,124,0.933,0.347,0.236,"2023/09/06,2024/02/07",45.8,49,30,45,35,82,80,100,50,55,0,夏普:49 回撤:30 信息比率:45 年化:35 胜率:82 盈亏比:80 交易次数:100 阿尔法:50 索提诺:55 下单时段:0
2022_origin_py/59.【策略】夏普超过2.0，后市靠定增一步步往上爬,2023/9/1,2026/2/21,200000,00分41秒,130.10%,41.93%,85.90%,23.77%,0.354,0.474,1.528,0.63,2.134,17.71%,2.119,0.12%,22.03%,1.028,0.526,598,351,1.295,0.248,0.176,"2025/03/26,2025/04/08",72.7,66,78,65,35,88,80,100,50,85,100,夏普:66 回撤:78 信息比率:65 年化:35 胜率:88 盈亏比:80 交易次数:100 阿尔法:50 索提诺:85 下单时段:100
"2025_origin_py/53TSmall-100, 微盘三正",2023/9/1,2026/2/21,200000,08分03秒,130.01%,41.90%,85.83%,23.77%,0.338,0.754,1.474,0.684,4.373,29.96%,1.738,0.11%,30.64%,1.149,0.561,1585,733,1.449,0.257,0.176,"2024/01/02,2024/02/07",69.1,64,55,65,35,92,100,100,50,72,100,夏普:64 回撤:55 信息比率:65 年化:35 胜率:92 盈亏比:100 交易次数:100 阿尔法:50 索提诺:72 下单时段:100
2025_origin_py/68wywy1995 首板低开策略代码优化，提快速度,2023/9/1,2026/2/21,200000,10分20秒,129.72%,41.83%,85.60%,23.77%,0.376,0.05,1.153,0.541,1.967,26.62%,2.577,0.13%,39.30%,0.699,0.494,33,28,0.882,0.328,0.176,"2024/09/04,2025/04/08",49.0,51,55,45,35,72,65,60,50,92,0,夏普:51 回撤:55 信息比率:45 年化:35 胜率:72 盈亏比:65 交易次数:60 阿尔法:50 索提诺:92 下单时段:0
2024_2_origin_py/87.北上净买入策略,2023/9/1,2026/2/21,200000,,129.12%,41.67%,85.11%,23.77%,0.325,0.959,1.235,0.452,2.107,32.85%,2.183,0.12%,23.91%,1.009,0.486,19,23,1.27,0.305,0.176,"2023/10/16,2024/02/05",59.7,54,45,65,35,60,80,45,50,85,100,夏普:54 回撤:45 信息比率:65 年化:35 胜率:60 盈亏比:80 交易次数:45 阿尔法:50 索提诺:85 下单时段:100
2025_origin_py/77研报三因子II-新规高分红小市值-年化60回撤19,2023/9/1,2026/2/21,200000,,128.81%,41.59%,61.40%,41.76%,0.264,0.949,1,0.626,2.207,49.03%,1.167,0.09%,37.98%,0.694,0.543,132,79,0.978,0.376,0.283,"2024/01/02,2024/02/07",45.0,45,30,45,35,88,80,92,50,55,0,夏普:45 回撤:30 信息比率:45 年化:35 胜率:88 盈亏比:80 交易次数:92 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/39干积分-大小盘反复横跳V2.0,2023/9/1,2026/2/21,200000,,128.73%,41.57%,71.60%,33.29%,0.311,0.735,1.344,0.587,2.537,25.46%,1.799,0.10%,21.73%,0.894,0.521,54,38,1.196,0.28,0.208,"2024/03/21,2024/04/16",55.4,59,55,65,35,82,90,72,50,72,0,夏普:59 回撤:55 信息比率:65 年化:35 胜率:82 盈亏比:90 交易次数:72 阿尔法:50 索提诺:72 下单时段:0
